turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2003-04,18,46,93,237,University of Virginia,216,,30,123,28,31
,2004-05,19,25,108,274,University of Virginia,232,,18,118,19,29
,2006-07,21,81,151,430,University of Massachusetts Amherst,354,,31,193,16,33
113,2007-08,22,109,233,698,University of Massachusetts Amherst,572,,41,270,25,36
