turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
33,2008-09,18,9,72,185,Baylor University,110,,21,124,34,34
45,2009-10,19,11,136,335,Baylor University,195,840,17,185,28,36
65,2010-11,20,28,137,385,Baylor University,256,960,29,237,45,31
71,2011-12,21,38,158,455,Baylor University,274,1130,35,282,70,38
