turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2005-06,19,52,134,354,University of California, Los Angeles,249,1151,44,318,22,39
,2006-07,20,65,116,287,University of California, Los Angeles,236,1046,59,259,29,35
62,2007-08,21,51,117,290,University of California, Los Angeles,245,958,34,198,15,33
