salary,season,team
473604,2011-12,Sacramento Kings
762195,2012-13,Sacramento Kings
884293,2013-14,Sacramento Kings
7238606,2014-15,Boston Celtics
6912869,2015-16,Boston Celtics
6587132,2016-17,Boston Celtics
