salary,season,team
1087680,2007-08,Memphis Grizzlies
1163520,2008-09,Houston Rockets
2034997,2009-10,Houston Rockets
5750000,2010-11,Houston Rockets
5750000,2011-12,Houston Rockets
5750000,2012-13,Toronto Raptors
6210000,2013-14,Toronto Raptors
12000000,2014-15,Toronto Raptors
12000000,2015-16,Toronto Raptors
12000000,2016-17,Toronto Raptors
