turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
98,1994-95,19,36,207,509,Colgate University,370,1063,21,371,147,30
114,1995-96,20,44,228,585,Colgate University,441,1060,21,364,165,29
117,1996-97,21,54,277,682,Colgate University,490,1055,19,368,180,28
