salary,season,team
122237,2011-12,Atlanta Hawks
76392,2011-12,New Orleans Hornets
251076,2012-13,Cleveland Cavaliers
44835,2012-13,New Orleans Hornets
884293,2013-14,Indiana Pacers
948163,2014-15,Indiana Pacers
1015421,2015-16,Brooklyn Nets
