turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2001-02,18,26,81,246,University of Nevada, Reno,215,494,12,83,15,18
,2002-03,19,81,187,520,University of Nevada, Reno,420,1013,29,259,26,32
,2003-04,20,117,209,638,University of Nevada, Reno,485,1079,35,195,22,34
