turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
1,1995-96,18,2,1,2,Michigan State University,1,12,0,3,0,4
23,1996-97,19,18,72,196,Michigan State University,166,518,19,97,6,29
,1997-98,20,24,81,217,Michigan State University,182,,21,94,3,27
62,1998-99,21,36,190,516,Michigan State University,343,907,33,216,22,38
84,1999-00,22,49,218,657,Michigan State University,469,1136,46,235,11,39
