Rk,From,To,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Player URL,
1019,2009,2017,TOT,NBA,Anthony Tolliver,520,78,10390,1079,2608,507,1027,572,1581,475,620,443,1391,1834,470,201,160,331,855,3205,.414,.494,.362,.523,.766,.556,/players/t/tollian01.html,
1020,2016,2017,TOT,NBA,Axel Toupane,25,0,352,30,79,16,35,14,44,13,17,8,24,32,15,8,7,6,46,87,.380,.457,.318,.468,.765,.503,/players/t/toupaax01.html,
1021,2016,2017,MIN,NBA,Karl-Anthony Towns,164,164,5657,1427,2633,1296,2270,131,363,579,703,525,1340,1865,381,114,241,395,486,3564,.542,.571,.361,.567,.824,.606,/players/t/townska01.html,
1022,2008,2010,TOT,NBA,Alando Tucker,51,1,426,77,182,67,148,10,34,47,60,29,20,49,16,5,2,19,22,211,.423,.453,.294,.451,.783,.506,/players/t/tuckeal02.html,
1023,2013,2017,TOT,NBA,P.J. Tucker,401,290,11559,1174,2719,853,1804,321,915,502,665,689,1675,2364,648,501,104,442,926,3171,.432,.473,.351,.491,.755,.526,/players/t/tuckepj01.html,
1024,2008,2015,TOT,NBA,Ronny Turiaf,378,103,6772,694,1309,694,1303,0,6,393,621,421,1040,1461,547,161,505,299,884,1781,.530,.533,.000,.530,.633,.563,/players/t/turiaro01.html,
1025,2008,2015,TOT,NBA,Hedo Turkoglu,478,356,13592,1925,4494,1216,2633,709,1861,1004,1292,259,1734,1993,1757,355,145,906,1195,5563,.428,.462,.381,.507,.777,.549,/players/t/turkohe01.html,
1026,2011,2017,TOT,NBA,Evan Turner,534,253,15048,2261,5244,2044,4516,217,728,880,1126,313,2355,2668,1968,443,129,1028,1087,5619,.431,.453,.298,.452,.782,.490,/players/t/turneev01.html,
1027,2016,2017,IND,NBA,Myles Turner,141,111,3908,708,1399,665,1270,43,129,333,424,207,714,921,147,99,258,172,420,1792,.506,.524,.333,.521,.785,.565,/players/t/turnemy01.html,
1028,2012,2014,TOT,NBA,Jeremy Tyler,104,23,1034,157,349,157,348,0,1,59,106,98,171,269,25,23,42,68,164,373,.450,.451,.000,.450,.557,.471,/players/t/tylerje01.html,
1029,2012,2012,WAS,NBA,Edwin Ubiles,4,0,52,5,18,4,13,1,5,3,3,2,8,10,1,1,1,1,1,14,.278,.308,.200,.306,1.000,.362,/players/u/ubileed01.html,
1030,2011,2015,TOT,NBA,Ekpe Udoh,270,52,4564,409,953,409,950,0,3,254,353,361,499,860,179,124,324,189,573,1072,.429,.431,.000,.429,.720,.484,/players/u/udohek01.html,
1031,2008,2011,TOT,NBA,Ime Udoka,229,5,3425,365,924,237,535,128,389,118,169,120,505,625,188,134,36,143,310,976,.395,.443,.329,.464,.698,.489,/players/u/udokaim01.html,
1032,2008,2017,TOT,NBA,Beno Udrih,624,266,15502,2334,4955,1984,3948,350,1007,848,1010,263,1232,1495,2494,494,58,993,1054,5866,.471,.503,.348,.506,.840,.543,/players/u/udrihbe01.html,
1033,2009,2010,TOT,NBA,Roko Ukic,85,0,987,137,354,123,280,14,74,53,71,27,51,78,165,31,2,66,83,341,.387,.439,.189,.407,.746,.443,/players/u/ukicro01.html,
1034,2017,2017,PHO,NBA,Tyler Ulis,61,15,1123,184,437,163,358,21,79,55,71,20,75,95,226,48,5,77,73,444,.421,.455,.266,.445,.775,.474,/players/u/ulisty01.html,
1035,2017,2017,DAL,NBA,Jarrod Uthoff,9,0,115,16,38,13,29,3,9,5,7,8,14,22,9,2,4,3,8,40,.421,.448,.333,.461,.714,.487,/players/u/uthofja01.html,
1036,2011,2012,TOT,NBA,Ben Uzoh,60,8,808,96,243,93,234,3,9,44,75,49,79,128,130,30,11,44,60,239,.395,.397,.333,.401,.587,.433,/players/u/uzohbe01.html,
1037,2013,2017,TOR,NBA,Jonas Valanciunas,363,357,9483,1630,2932,1629,2928,1,4,899,1151,972,2113,3085,240,136,387,530,1033,4160,.556,.556,.250,.556,.781,.605,/players/v/valanjo01.html,
1038,2017,2017,CHI,NBA,Denzel Valentine,57,0,976,102,288,29,80,73,208,14,18,11,140,151,63,30,7,49,86,291,.354,.363,.351,.481,.778,.492,/players/v/valende01.html,
1039,2017,2017,TOR,NBA,Fred VanVleet,37,0,294,39,111,28,82,11,29,18,22,4,38,42,35,16,3,15,36,107,.351,.341,.379,.401,.818,.443,/players/v/vanvlfr01.html,
1040,2008,2017,TOT,NBA,Anderson Varejao,444,199,11496,1435,2790,1434,2760,1,30,658,995,1127,2347,3474,613,389,296,472,1121,3529,.514,.520,.033,.515,.661,.547,/players/v/varejan01.html,
1041,2013,2014,TOT,NBA,Jarvis Varnado,37,0,397,39,67,39,67,0,0,29,56,21,51,72,16,11,31,16,72,107,.582,.582,,.582,.518,.584,/players/v/varnaja01.html,
1042,2011,2017,TOT,NBA,Greivis Vasquez,401,157,9520,1378,3297,966,2117,412,1180,423,518,125,896,1021,1935,236,34,753,767,3591,.418,.456,.349,.480,.817,.509,/players/v/vasqugr01.html,
1043,2008,2009,SAS,NBA,Jacque Vaughn,104,9,1431,145,358,141,347,4,11,77,98,17,79,96,214,29,1,69,123,371,.405,.406,.364,.411,.786,.462,/players/v/vaughja01.html,
1044,2016,2017,MIL,NBA,Rashad Vaughn,111,8,1459,138,422,69,194,69,228,14,20,15,122,137,62,48,26,42,105,359,.327,.356,.303,.409,.700,.417,/players/v/vaughra01.html,
