Rk,From,To,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Player URL,
1,2008,2008,SAC,NBA,Shareef Abdur-Rahim,6,0,51,3,14,3,14,0,0,4,4,6,4,10,4,1,0,1,9,10,.214,.214,,.214,1.000,.317,/players/a/abdursh01.html,
2,2017,2017,OKC,NBA,Alex Abrines,68,6,1055,134,341,40,94,94,247,44,49,18,68,86,40,37,8,33,114,406,.393,.426,.381,.531,.898,.560,/players/a/abrinal01.html,
3,2009,2009,TOT,NBA,Alex Acker,25,0,199,30,76,23,56,7,20,5,10,8,16,24,12,5,4,7,9,72,.395,.411,.350,.441,.500,.448,/players/a/ackeral01.html,
4,2013,2017,TOT,NBA,Quincy Acy,257,52,3910,449,931,370,715,79,216,237,316,266,631,897,152,106,102,155,492,1214,.482,.517,.366,.525,.750,.567,/players/a/acyqu01.html,
5,2009,2009,TOR,NBA,Hassan Adams,12,0,52,4,13,4,13,0,0,3,6,1,6,7,1,1,1,4,4,11,.308,.308,,.308,.500,.352,/players/a/adamsha01.html,
6,2015,2016,MEM,NBA,Jordan Adams,32,0,263,37,92,27,66,10,26,17,28,9,21,30,19,19,7,16,26,101,.402,.409,.385,.457,.607,.484,/players/a/adamsjo01.html,
7,2014,2017,OKC,NBA,Steven Adams,311,247,7371,945,1665,945,1662,0,3,453,794,841,1160,2001,257,209,310,400,843,2343,.568,.569,.000,.568,.571,.582,/players/a/adamsst01.html,
8,2011,2015,TOT,NBA,Jeff Adrien,153,17,2148,264,557,264,555,0,2,181,288,221,438,659,100,50,79,91,259,709,.474,.476,.000,.474,.628,.518,/players/a/adrieje01.html,
9,2008,2017,TOT,NBA,Arron Afflalo,709,534,20147,2918,6471,2093,4336,825,2135,1358,1647,330,1780,2110,1356,337,132,831,1425,8019,.451,.483,.386,.515,.825,.557,/players/a/afflaar01.html,
10,2008,2011,TOT,NBA,Maurice Ager,50,3,291,42,119,36,90,6,29,10,20,7,18,25,12,2,3,14,38,100,.353,.400,.207,.378,.500,.391,/players/a/agerma01.html,
11,2008,2012,TOT,NBA,Blake Ahearn,19,0,226,21,77,7,30,14,47,32,33,1,21,22,22,7,0,22,27,88,.273,.233,.298,.364,.970,.481,/players/a/ahearbl01.html,
12,2009,2017,TOT,NBA,Alexis Ajinca,293,76,3905,645,1283,633,1241,12,42,251,315,346,804,1150,143,102,181,249,661,1553,.503,.510,.286,.507,.797,.546,/players/a/ajincal01.html,
13,2013,2013,DAL,NBA,Josh Akognon,3,0,9,2,4,1,2,1,2,0,0,0,1,1,1,0,0,0,3,5,.500,.500,.500,.625,,.625,/players/a/akognjo01.html,
14,2011,2012,TOR,NBA,Solomon Alabi,26,0,181,16,51,16,51,0,0,7,10,22,39,61,5,4,11,8,16,39,.314,.314,,.314,.700,.352,/players/a/alabiso01.html,
15,2015,2015,PHI,NBA,Furkan Aldemir,41,9,540,40,78,40,73,0,5,13,27,78,98,176,28,17,16,17,96,93,.513,.548,.000,.513,.481,.517,/players/a/aldemfu01.html,
16,2011,2017,TOT,NBA,Cole Aldrich,318,23,3340,430,810,430,810,0,0,178,238,331,785,1116,180,135,232,198,498,1038,.531,.531,,.531,.748,.567,/players/a/aldrico01.html,
17,2008,2017,TOT,NBA,LaMarcus Aldridge,731,731,26176,5916,12180,5832,11889,84,291,2655,3297,1940,4337,6277,1486,589,754,1200,1819,14571,.486,.491,.289,.489,.805,.534,/players/a/aldrila01.html,
18,2016,2016,POR,NBA,Cliff Alexander,8,0,36,5,10,5,10,0,0,0,0,2,4,6,0,1,2,1,1,10,.500,.500,,.500,,.500,/players/a/alexacl01.html,
19,2009,2010,TOT,NBA,Joe Alexander,67,0,745,103,251,87,204,16,47,60,86,46,74,120,44,16,30,52,116,282,.410,.426,.340,.442,.698,.488,/players/a/alexajo01.html,
20,2012,2017,TOT,NBA,Lavoy Allen,388,87,6905,828,1758,826,1743,2,15,189,277,715,1128,1843,384,120,214,257,706,1847,.471,.474,.133,.472,.682,.491,/players/a/allenla01.html,
21,2008,2011,TOT,NBA,Malik Allen,191,22,2309,287,644,285,635,2,9,46,61,149,264,413,99,38,52,90,336,622,.446,.449,.222,.447,.754,.464,/players/a/allenma01.html,
22,2008,2014,TOT,NBA,Ray Allen,510,363,16745,2640,5664,1587,3074,1053,2590,1218,1338,314,1323,1637,1259,445,101,762,960,7551,.466,.516,.407,.559,.910,.604,/players/a/allenra02.html,
23,2008,2017,TOT,NBA,Tony Allen,637,380,14737,2098,4436,2008,4102,90,334,1025,1468,849,1532,2381,881,971,280,880,1529,5311,.473,.490,.269,.483,.698,.523,/players/a/allento01.html,
24,2008,2008,CLE,NBA,Lance Allred,3,0,10,1,4,1,4,0,0,1,2,0,1,1,0,0,0,0,1,3,.250,.250,,.250,.500,.307,/players/a/allrela01.html,
25,2008,2012,TOT,NBA,Morris Almond,38,1,361,43,113,36,89,7,24,26,35,10,36,46,12,12,4,19,42,119,.381,.404,.292,.412,.743,.463,/players/a/almonmo01.html,
26,2008,2010,TOT,NBA,Rafer Alston,203,188,6394,835,2190,522,1284,313,906,313,426,74,542,616,974,256,38,395,377,2296,.381,.407,.345,.453,.735,.483,/players/a/alstora01.html,
27,2011,2017,TOT,NBA,Al-Farouq Aminu,520,281,12520,1398,3281,1093,2339,305,942,665,917,727,2221,2948,639,494,307,667,967,3766,.426,.467,.324,.473,.725,.511,/players/a/aminual01.html,
28,2008,2016,TOT,NBA,Lou Amundson,417,42,5418,642,1353,642,1350,0,3,264,593,631,882,1513,189,151,298,294,820,1548,.475,.476,.000,.475,.445,.480,/players/a/amundlo01.html,
29,2008,2017,TOT,NBA,Chris Andersen,442,37,8075,860,1494,845,1435,15,59,726,1064,742,1538,2280,186,219,648,302,870,2461,.576,.589,.254,.581,.682,.627,/players/a/anderch01.html,
30,2010,2011,TOT,NBA,David Andersen,103,0,1264,203,461,168,360,35,101,60,89,74,218,292,57,20,21,59,159,501,.440,.467,.347,.478,.674,.501,/players/a/anderda03.html,
31,2012,2017,TOT,NBA,Alan Anderson,277,59,5973,731,1822,429,937,302,885,352,431,117,495,612,318,164,27,236,521,2116,.401,.458,.341,.484,.817,.526,/players/a/anderal01.html,
32,2010,2010,OKC,NBA,Antonio Anderson,1,0,15,1,3,1,3,0,0,0,0,1,0,1,0,0,0,1,1,2,.333,.333,,.333,,.333,/players/a/anderan02.html,
33,2008,2008,CHA,NBA,Derek Anderson,28,0,396,47,125,28,73,19,52,28,38,9,43,52,44,12,1,25,49,141,.376,.384,.365,.452,.737,.497,/players/a/anderde01.html,
34,2011,2016,TOT,NBA,James Anderson,247,83,4320,525,1276,329,665,196,611,176,233,108,452,560,291,121,55,216,292,1422,.411,.495,.321,.488,.755,.516,/players/a/anderja01.html,
35,2016,2017,TOT,NBA,Justin Anderson,130,19,1875,257,614,177,337,80,277,146,184,87,290,377,95,60,48,90,154,740,.419,.525,.289,.484,.793,.532,/players/a/anderju01.html,
36,2015,2017,SAS,NBA,Kyle Anderson,183,33,2623,262,593,232,505,30,88,116,154,63,461,524,242,126,62,108,188,670,.442,.459,.341,.467,.753,.507,/players/a/anderky01.html,
37,2009,2017,TOT,NBA,Ryan Anderson,556,231,14708,2525,5977,1341,2870,1184,3107,1082,1257,1135,1886,3021,505,303,195,549,1111,7316,.422,.467,.381,.521,.861,.560,/players/a/anderry01.html,
38,2014,2017,MIL,NBA,Giannis Antetokounmpo,318,253,10106,1725,3470,1600,3019,125,451,1162,1570,433,1760,2193,1136,358,410,737,931,4737,.497,.530,.277,.515,.740,.569,/players/a/antetgi01.html,
39,2016,2016,NYK,NBA,Thanasis Antetokounmpo,2,0,6,3,4,3,3,0,1,0,0,0,1,1,0,0,0,0,2,6,.750,1.000,.000,.750,,.750,/players/a/antetth01.html,
40,2008,2017,TOT,NBA,Carmelo Anthony,674,674,24304,6015,13352,5031,10638,984,2714,3856,4700,1153,3569,4722,2171,700,335,1802,1947,16870,.450,.473,.363,.487,.820,.547,/players/a/anthoca01.html,
41,2008,2017,TOT,NBA,Joel Anthony,490,110,7056,398,776,398,776,0,0,268,405,562,791,1353,99,127,531,227,819,1064,.513,.513,,.513,.662,.558,/players/a/anthojo01.html,
42,2014,2015,ATL,NBA,Pero Antic,113,29,1962,231,590,123,246,108,344,138,189,115,283,398,107,37,26,104,258,708,.392,.500,.314,.483,.730,.526,/players/a/anticpe01.html,
43,2016,2016,ORL,NBA,Keith Appling,5,0,27,2,8,2,5,0,3,2,2,0,1,1,1,1,0,3,5,6,.250,.400,.000,.250,1.000,.338,/players/a/applike01.html,
44,2008,2012,TOT,NBA,Gilbert Arenas,134,58,3664,632,1633,435,1001,197,632,366,482,48,352,400,608,149,33,356,352,1827,.387,.435,.312,.447,.759,.495,/players/a/arenagi01.html,
45,2008,2017,TOT,NBA,Trevor Ariza,681,545,21880,2834,6767,1695,3533,1139,3234,1102,1489,662,2848,3510,1638,1140,234,1008,1373,7909,.419,.480,.352,.503,.740,.533,/players/a/arizatr01.html,
46,2008,2008,NJN,NBA,Darrell Armstrong,50,2,549,40,110,17,41,23,69,20,30,17,50,67,73,28,2,41,53,123,.364,.415,.333,.468,.667,.499,/players/a/armstda01.html,
47,2008,2014,TOT,NBA,Hilton Armstrong,236,35,2744,279,568,277,561,2,7,144,249,234,383,617,92,78,116,195,465,704,.491,.494,.286,.493,.578,.520,/players/a/armsthi01.html,
48,2008,2011,TOT,NBA,Carlos Arroyo,198,98,4039,455,996,388,818,67,178,202,239,56,290,346,569,83,9,191,258,1179,.457,.474,.376,.490,.845,.535,/players/a/arroyca01.html,
49,2009,2017,TOT,NBA,Darrell Arthur,484,105,8804,1359,3063,1206,2628,153,435,357,466,544,1209,1753,400,301,304,407,1212,3228,.444,.459,.352,.469,.766,.494,/players/a/arthuda01.html,
50,2011,2017,TOT,NBA,Omer Asik,453,262,9034,938,1773,938,1772,0,1,581,1049,1027,2288,3315,277,165,335,533,908,2457,.529,.529,.000,.529,.554,.550,/players/a/asikom01.html,
51,2008,2010,TOT,NBA,Chucky Atkins,97,11,1408,133,392,71,183,62,209,44,52,13,71,84,197,36,3,65,107,372,.339,.388,.297,.418,.846,.448,/players/a/atkinch01.html,
52,2009,2017,TOT,NBA,D.J. Augustin,651,190,15390,2019,5027,1223,2881,796,2146,1380,1601,168,990,1158,2491,382,25,970,974,6214,.402,.425,.371,.481,.862,.542,/players/a/augusdj01.html,
53,2008,2008,ORL,NBA,James Augustine,25,0,149,18,34,18,34,0,0,4,8,16,14,30,2,5,2,6,18,40,.529,.529,,.529,.500,.533,/players/a/augusja01.html,
54,2012,2014,TOT,NBA,Gustavo Ayon,135,41,2251,284,530,284,529,0,1,67,133,188,401,589,173,100,73,122,272,635,.536,.537,.000,.536,.504,.539,/players/a/ayongu01.html,
55,2010,2016,TOT,NBA,Jeff Ayres,237,15,2322,287,519,285,514,2,5,114,147,196,436,632,99,37,66,132,360,690,.553,.554,.400,.555,.776,.591,/players/p/pendeje02.html,
56,2008,2012,TOT,NBA,Kelenna Azubuike,167,75,4356,704,1528,528,1093,176,435,303,395,231,504,735,202,108,93,164,359,1887,.461,.483,.405,.518,.767,.554,/players/a/azubuke01.html,
57,2014,2014,BOS,NBA,Chris Babb,14,0,132,8,30,2,3,6,27,0,0,4,13,17,3,6,0,3,13,22,.267,.667,.222,.367,,.367,/players/b/babbch01.html,
58,2011,2017,TOT,NBA,Luke Babbitt,331,93,4617,559,1378,225,555,334,823,107,144,104,646,750,193,81,51,146,466,1559,.406,.405,.406,.527,.743,.541,/players/b/babbilu01.html,
59,2015,2016,CHI,NBA,Cameron Bairstow,36,3,167,16,54,15,49,1,5,11,13,10,26,36,7,4,4,7,27,44,.296,.306,.200,.306,.846,.368,/players/b/bairsca01.html,
60,2017,2017,NYK,NBA,Ron Baker,52,13,857,82,217,59,131,23,86,28,43,12,86,98,107,34,8,56,74,215,.378,.450,.267,.431,.651,.456,/players/b/bakerro01.html,
61,2017,2017,MEM,NBA,Wade Baldwin,33,1,405,36,115,33,93,3,22,31,37,11,35,46,61,18,7,39,40,106,.313,.355,.136,.326,.838,.404,/players/b/baldwwa01.html,
62,2008,2012,TOT,NBA,Renaldo Balkman,153,11,2000,229,446,223,409,6,37,96,181,181,294,475,88,107,60,85,275,560,.513,.545,.162,.520,.530,.533,/players/b/balkmre01.html,
63,2008,2011,TOT,NBA,Marcus Banks,83,3,1041,146,323,96,178,50,145,68,90,8,79,87,118,38,17,73,125,410,.452,.539,.345,.529,.756,.565,/players/b/banksma01.html,
64,2008,2017,TOT,NBA,Leandro Barbosa,580,31,11594,2223,4907,1646,3334,577,1573,832,1002,211,892,1103,1009,426,86,619,985,5855,.453,.494,.367,.512,.830,.547,/players/b/barbole01.html,
65,2008,2017,TOT,NBA,J.J. Barea,662,90,13291,2255,5325,1627,3542,628,1783,761,948,208,1166,1374,2489,268,17,997,989,5899,.423,.459,.352,.482,.803,.514,/players/b/bareajo01.html,
66,2008,2016,TOT,NBA,Andrea Bargnani,485,375,14177,2665,6051,2138,4548,527,1503,1265,1535,478,1808,2286,603,175,417,744,1158,7122,.440,.470,.351,.484,.824,.529,/players/b/bargnan01.html,
67,2013,2017,TOT,NBA,Harrison Barnes,386,325,11425,1757,3876,1392,2890,365,986,726,936,406,1410,1816,563,284,78,415,708,4605,.453,.482,.370,.500,.776,.537,/players/b/barneha02.html,
68,2008,2017,TOT,NBA,Matt Barnes,716,313,18084,2318,5331,1452,2740,866,2591,831,1095,825,2701,3526,1402,564,386,948,1909,6333,.435,.530,.334,.516,.759,.545,/players/b/barnema02.html,
69,2008,2008,LAC,NBA,Andre Barrett,4,0,25,2,5,1,2,1,3,1,2,0,1,1,7,0,0,1,1,6,.400,.500,.333,.500,.500,.510,/players/b/barrean01.html,
70,2008,2015,TOT,NBA,Earl Barron,104,31,1737,226,588,223,571,3,17,107,159,167,274,441,58,40,26,91,239,562,.384,.391,.176,.387,.673,.427,/players/b/barroea01.html,
71,2008,2009,TOT,NBA,Brent Barry,87,2,1411,147,332,50,89,97,243,38,40,29,120,149,132,41,6,66,88,429,.443,.562,.399,.589,.950,.614,/players/b/barrybr01.html,
72,2013,2017,TOT,NBA,Will Barton,314,25,6322,1053,2467,812,1724,241,743,509,649,195,921,1116,581,210,102,375,414,2856,.427,.471,.324,.476,.784,.519,/players/b/bartowi01.html,
73,2008,2017,TOT,NBA,Brandon Bass,708,279,15980,2515,5011,2503,4954,12,57,1423,1705,1108,2229,3337,602,290,469,697,1341,6465,.502,.505,.211,.503,.835,.561,/players/b/bassbr01.html,
74,2008,2009,TOT,NBA,Maceo Baston,42,2,320,42,71,42,70,0,1,24,37,31,47,78,10,8,14,16,59,108,.592,.600,.000,.592,.649,.619,/players/b/bastoma01.html,
75,2009,2012,TOT,NBA,Tony Battie,157,14,2008,236,510,231,493,5,17,73,110,121,346,467,62,39,48,65,216,550,.463,.469,.294,.468,.664,.492,/players/b/battito01.html,
76,2008,2014,TOT,NBA,Shane Battier,499,344,14234,1187,2858,483,997,704,1861,341,465,474,1362,1836,858,402,428,362,985,3419,.415,.484,.378,.538,.733,.558,/players/b/battish01.html,
77,2009,2017,TOT,NBA,Nicolas Batum,628,575,19893,2694,6177,1669,3302,1025,2875,1187,1413,682,2659,3341,2305,594,426,1179,1145,7600,.436,.505,.357,.519,.840,.559,/players/b/batumni01.html,
78,2009,2017,TOT,NBA,Jerryd Bayless,513,82,10904,1528,3688,1112,2550,416,1138,921,1116,150,943,1093,1501,329,65,747,1059,4393,.414,.436,.366,.471,.825,.526,/players/b/bayleje01.html,
79,2013,2017,TOT,NBA,Aron Baynes,295,24,4150,611,1189,610,1182,1,7,321,396,429,783,1212,157,57,124,229,579,1544,.514,.516,.143,.514,.811,.566,/players/b/baynear01.html,
80,2013,2017,TOT,NBA,Kent Bazemore,351,157,6548,946,2236,644,1371,302,865,395,572,109,862,971,539,301,140,433,597,2589,.423,.470,.349,.491,.691,.520,/players/b/bazemke01.html,
81,2013,2017,WAS,NBA,Bradley Beal,324,290,10774,2122,4808,1459,3147,663,1661,821,1032,248,905,1153,1003,334,97,609,688,5728,.441,.464,.399,.510,.796,.544,/players/b/bealbr01.html,
82,2017,2017,DEN,NBA,Malik Beasley,22,1,165,33,73,24,45,9,28,8,10,5,12,17,11,7,0,8,10,83,.452,.533,.321,.514,.800,.536,/players/b/beaslma01.html,
83,2009,2017,TOT,NBA,Michael Beasley,509,206,11973,2604,5684,2350,4952,254,732,949,1252,554,1833,2387,640,300,261,855,1107,6411,.458,.475,.347,.480,.758,.514,/players/b/beaslmi01.html,
84,2010,2013,DAL,NBA,Rodrigue Beaubois,182,54,2896,502,1143,373,746,129,397,153,189,47,291,338,374,124,52,204,312,1286,.439,.500,.325,.496,.810,.524,/players/b/beaubro01.html,
85,2008,2017,TOT,NBA,Marco Belinelli,644,216,14903,2204,5191,1351,2929,853,2262,948,1140,144,1177,1321,1080,375,44,665,965,6209,.425,.461,.377,.507,.832,.545,/players/b/belinma01.html,
86,2008,2011,TOT,NBA,Charlie Bell,228,67,5193,583,1496,343,818,240,678,186,238,100,351,451,478,147,22,212,408,1592,.390,.419,.354,.470,.782,.497,/players/b/bellch01.html,
87,2008,2012,TOT,NBA,Raja Bell,250,242,8034,916,2139,512,1122,404,1017,281,323,130,635,765,479,177,53,240,648,2517,.428,.456,.397,.523,.870,.552,/players/b/bellra01.html,
88,2017,2017,ATL,NBA,DeAndre' Bembry,38,1,371,47,98,46,80,1,18,6,16,14,45,59,28,8,5,16,21,101,.480,.575,.056,.485,.375,.481,/players/b/bembrde01.html,
89,2017,2017,PHO,NBA,Dragan Bender,43,0,574,57,161,29,60,28,101,4,11,23,80,103,23,10,22,32,74,146,.354,.483,.277,.441,.364,.440,/players/b/bendedr01.html,
90,2010,2010,NYK,NBA,Jonathan Bender,25,1,292,40,100,26,61,14,39,24,26,15,37,52,16,2,17,28,33,118,.400,.426,.359,.470,.923,.529,/players/b/bendejo01.html,
91,2015,2015,UTA,NBA,Jerrelle Benimon,2,0,3,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,0,,,,,,,/players/b/benimje01.html,
92,2014,2017,TOT,NBA,Anthony Bennett,151,4,1905,251,641,215,503,36,138,120,179,132,340,472,77,58,27,99,206,658,.392,.427,.261,.420,.670,.457,/players/b/bennean01.html,
93,2012,2012,GSW,NBA,Keith Benson,3,0,9,0,1,0,1,0,0,0,0,2,1,3,0,0,0,0,0,0,.000,.000,,.000,,.000,/players/b/bensoke02.html,
94,2017,2017,DAL,NBA,Ben Bentil,3,0,10,0,3,0,2,0,1,0,0,0,2,2,0,0,0,1,1,0,.000,.000,.000,.000,,.000,/players/b/bentibe01.html,
95,2017,2017,SAS,NBA,Davis Bertans,67,6,808,103,234,34,61,69,173,28,34,22,76,98,46,20,28,32,75,303,.440,.557,.399,.588,.824,.609,/players/b/bertada01.html,
96,2013,2017,HOU,NBA,Patrick Beverley,291,240,8290,968,2339,491,1067,477,1272,295,386,352,833,1185,980,366,118,384,895,2708,.414,.460,.375,.516,.764,.540,/players/b/beverpa01.html,
97,2015,2015,SAC,NBA,Sim Bhullar,3,0,3,1,2,1,2,0,0,0,0,0,1,1,1,0,1,0,0,2,.500,.500,,.500,,.500,/players/b/bhullsi01.html,
98,2008,2012,TOT,NBA,Mike Bibby,326,275,9350,1236,2952,670,1519,566,1433,326,420,96,780,876,1337,290,30,458,619,3364,.419,.441,.395,.515,.776,.536,/players/b/bibbymi01.html,
99,2008,2014,TOT,NBA,Andris Biedrins,336,245,7380,921,1565,921,1564,0,1,255,487,768,1700,2468,343,229,373,314,1045,2097,.588,.589,.000,.588,.524,.589,/players/b/biedran01.html,
100,2008,2014,TOT,NBA,Chauncey Billups,363,351,11445,1704,4052,1007,2280,697,1772,1809,1981,134,845,979,2002,376,63,780,680,5914,.421,.442,.393,.507,.913,.601,/players/b/billuch01.html,
101,2012,2017,TOT,NBA,Bismack Biyombo,447,185,9557,809,1581,809,1580,0,1,558,1009,910,2035,2945,189,117,667,411,1031,2176,.512,.512,.000,.512,.553,.537,/players/b/biyombi01.html,
102,2016,2017,MIN,NBA,Nemanja Bjelica,125,1,2265,261,591,157,289,104,302,85,116,106,348,454,162,66,41,106,308,711,.442,.543,.344,.530,.733,.554,/players/b/bjeline01.html,
103,2015,2017,TOT,NBA,Tarik Black,169,55,2783,364,671,363,668,1,3,166,272,330,538,868,97,62,86,128,409,895,.542,.543,.333,.543,.610,.566,/players/b/blackta01.html,
104,2010,2016,TOT,NBA,DeJuan Blair,424,179,7054,1242,2371,1242,2362,0,9,381,627,810,1343,2153,349,316,127,471,1003,2865,.524,.526,.000,.524,.608,.541,/players/b/blairde01.html,
105,2008,2016,TOT,NBA,Steve Blake,601,233,14777,1428,3573,645,1551,783,2022,300,383,167,1146,1313,2454,414,43,843,912,3939,.400,.416,.387,.509,.783,.526,/players/b/blakest01.html,
106,2008,2014,TOT,NBA,Andray Blatche,479,178,11605,2215,4717,2170,4538,45,179,960,1319,954,1841,2795,749,470,419,853,1252,5435,.470,.478,.251,.474,.728,.513,/players/b/blatcan01.html,
107,2011,2017,TOT,NBA,Eric Bledsoe,418,256,11309,1913,4308,1554,3233,359,1075,1295,1619,337,1246,1583,1924,582,204,1129,827,5480,.444,.481,.334,.486,.800,.546,/players/b/bledser01.html,
108,2008,2009,MIA,NBA,Mark Blount,89,46,1749,268,593,240,522,28,71,96,151,79,225,304,45,34,41,84,150,660,.452,.460,.394,.476,.636,.500,/players/b/blounma01.html,
109,2014,2015,TOT,NBA,Vander Blue,5,1,89,11,34,9,23,2,11,3,10,2,10,12,9,3,0,8,5,27,.324,.391,.182,.353,.300,.352,/players/b/blueva01.html,
110,2008,2014,TOT,NBA,Keith Bogans,393,206,8047,723,1828,251,505,472,1323,207,274,138,788,926,446,216,39,241,663,2125,.396,.497,.357,.525,.755,.545,/players/b/boganke01.html,
111,2015,2017,TOT,NBA,Bojan Bogdanovic,238,121,6052,961,2170,597,1184,364,986,414,481,123,622,745,278,97,21,324,369,2700,.443,.504,.369,.527,.861,.567,/players/b/bogdabo02.html,
112,2008,2017,TOT,NBA,Andrew Bogut,523,508,14906,2280,4289,2278,4272,2,17,594,1102,1359,3463,4822,1130,337,967,902,1649,5156,.532,.533,.118,.532,.539,.540,/players/b/bogutan01.html,
113,2017,2017,UTA,NBA,Joel Bolomboy,12,0,53,9,16,8,12,1,4,3,6,4,13,17,2,1,2,2,1,22,.563,.667,.250,.594,.500,.590,/players/b/bolomjo01.html,
114,2008,2016,SAS,NBA,Matt Bonner,576,106,9440,1187,2601,567,1107,620,1494,191,247,364,1282,1646,426,180,152,202,804,3185,.456,.512,.415,.576,.773,.588,/players/b/bonnema01.html,
115,2016,2017,PHO,NBA,Devin Booker,154,129,4838,973,2298,727,1604,246,694,582,697,73,363,436,468,116,41,401,467,2774,.423,.453,.354,.477,.835,.533,/players/b/bookede01.html,
116,2011,2017,TOT,NBA,Trevor Booker,464,155,9714,1371,2660,1304,2447,67,213,442,706,912,1702,2614,484,327,256,481,944,3251,.515,.533,.315,.528,.626,.547,/players/b/booketr01.html,
117,2008,2010,NJN,NBA,Josh Boone,195,88,3813,468,871,468,871,0,0,150,360,420,662,1082,115,88,157,136,372,1086,.537,.537,,.537,.417,.527,/players/b/boonejo01.html,
118,2008,2009,TOT,NBA,Calvin Booth,39,0,260,14,37,14,37,0,0,12,18,11,38,49,8,7,20,5,45,40,.378,.378,,.378,.667,.445,/players/b/boothca01.html,
119,2008,2015,TOT,NBA,Carlos Boozer,547,502,16906,3818,7457,3818,7451,0,6,1373,1904,1156,3961,5117,1221,491,188,1187,1688,9009,.512,.512,.000,.512,.721,.543,/players/b/boozeca01.html,
120,2008,2016,TOT,NBA,Chris Bosh,598,598,21000,4317,8683,4032,7845,285,838,2915,3590,1152,3777,4929,1208,506,544,1177,1346,11834,.497,.514,.340,.514,.812,.577,/players/b/boshch01.html,
121,2008,2009,SAS,NBA,Bruce Bowen,161,91,3954,253,615,121,302,132,313,59,95,49,330,379,131,90,35,71,300,697,.411,.401,.422,.519,.621,.531,/players/b/bowenbr01.html,
122,2008,2010,TOT,NBA,Ryan Bowen,75,7,887,72,139,72,138,0,1,21,36,66,60,126,34,47,16,20,116,165,.518,.522,.000,.518,.583,.533,/players/b/bowenry01.html,
123,2008,2012,TOT,NBA,Earl Boykins,168,1,2667,401,963,339,779,62,184,208,245,41,134,175,425,76,6,169,117,1072,.416,.435,.337,.449,.849,.501,/players/b/boykiea01.html,
124,2011,2012,PHI,NBA,Craig Brackins,17,1,121,13,49,10,35,3,14,1,2,7,12,19,9,1,1,4,9,30,.265,.286,.214,.296,.500,.301,/players/b/brackcr01.html,
125,2011,2017,BOS,NBA,Avery Bradley,413,340,11619,2025,4578,1505,3157,520,1421,438,567,275,989,1264,703,446,87,565,885,5008,.442,.477,.366,.499,.772,.519,/players/b/bradlav01.html,
126,2008,2016,TOT,NBA,Elton Brand,452,265,11684,1894,3876,1894,3868,0,8,727,996,923,1915,2838,563,368,554,528,1221,4515,.489,.490,.000,.489,.730,.523,/players/b/brandel01.html,
127,2008,2017,TOT,NBA,Corey Brewer,711,289,17038,2487,5871,2029,4252,458,1619,1129,1584,542,1507,2049,1144,908,201,880,1559,6561,.424,.477,.283,.463,.713,.499,/players/b/breweco01.html,
128,2008,2014,TOT,NBA,Ronnie Brewer,446,290,10864,1452,2976,1362,2630,90,346,686,1016,414,938,1352,804,585,114,366,501,3680,.488,.518,.260,.503,.675,.538,/players/b/brewero02.html,
129,2008,2010,TOT,NBA,Primoz Brezec,71,18,570,53,120,53,120,0,0,25,46,42,64,106,12,4,10,26,102,131,.442,.442,,.442,.543,.467,/players/b/brezepr01.html,
130,2010,2012,TOT,NBA,Jon Brockman,150,10,1570,118,242,118,241,0,1,84,136,212,260,472,49,33,9,57,267,320,.488,.490,.000,.488,.618,.530,/players/b/brockjo01.html,
131,2017,2017,MIL,NBA,Malcolm Brogdon,75,28,1982,290,635,212,442,78,193,109,126,47,166,213,317,84,12,113,140,767,.457,.480,.404,.518,.865,.555,/players/b/brogdma01.html,
132,2008,2017,TOT,NBA,Aaron Brooks,613,182,13250,2233,5409,1424,3222,809,2187,909,1084,247,815,1062,1905,353,87,989,1189,6184,.413,.442,.370,.488,.839,.525,/players/b/brookaa01.html,
133,2012,2014,TOT,NBA,MarShon Brooks,164,49,2876,486,1100,411,870,75,230,214,286,112,246,358,232,100,35,211,230,1261,.442,.472,.326,.476,.748,.514,/players/b/brookma01.html,
134,2008,2009,TOT,NBA,Andre Brown,37,1,327,40,85,40,85,0,0,24,51,44,60,104,9,8,4,19,47,104,.471,.471,,.471,.471,.484,/players/b/brownan01.html,
135,2016,2017,TOT,NBA,Anthony Brown,40,11,758,57,176,30,79,27,97,17,20,17,86,103,27,19,6,21,49,158,.324,.380,.278,.401,.850,.427,/players/b/brownan02.html,
136,2009,2017,TOT,NBA,Bobby Brown,138,2,1573,252,657,167,394,85,263,49,60,23,73,96,219,37,4,114,142,638,.384,.424,.323,.448,.817,.467,/players/b/brownbo02.html,
137,2009,2009,TOT,NBA,Dee Brown,19,11,261,18,49,11,25,7,24,3,5,7,22,29,36,10,0,17,28,46,.367,.440,.292,.439,.600,.449,/players/b/brownde03.html,
138,2010,2012,TOT,NBA,Derrick Brown,171,18,2554,354,687,341,646,13,41,174,273,167,246,413,119,89,32,109,208,895,.515,.528,.317,.525,.637,.554,/players/b/brownde04.html,
