Rk,From,To,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,SALARY
777,2014,2014,TOT,NBA,James Nunnally,13,0,165,15,46,7,21,8,25,6,9,1,18,19,8,6,2,7,11,44,0.326,0.333,0.32,0.413,0.667,0.44
778,2015,2017,TOT,NBA,Jusuf Nurkic,159,78,3041,543,1159,543,1153,0,6,265,441,344,680,1024,213,126,186,284,459,1351,0.469,0.471,0,0.469,0.601,0.499,5526000
779,2017,2017,LAL,NBA,David Nwaba,20,2,397,47,81,46,76,1,5,25,39,17,46,63,14,13,7,11,36,120,0.58,0.605,0.2,0.586,0.641,0.611,137466
780,2016,2016,UTA,NBA,J.J. O'Brien,2,0,6,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,,0,,0,105888
781,2015,2017,TOT,NBA,Johnny O'Bryant,111,19,1305,145,359,141,352,4,7,44,73,100,159,259,55,23,13,62,154,338,0.404,0.401,0.571,0.409,0.603,0.432,1837230
782,2008,2010,TOT,NBA,Patrick O'Bryant,74,3,405,69,128,69,125,0,3,17,31,25,81,106,16,12,32,34,100,155,0.539,0.552,0,0.539,0.548,0.547,5336400
783,2008,2014,TOT,NBA,Jermaine O'Neal,328,216,8137,1390,2875,1390,2866,0,9,703,931,561,1399,1960,396,117,509,548,925,3483,0.483,0.485,0,0.483,0.755,0.53,79459381
784,2008,2011,TOT,NBA,Shaquille O'Neal,226,225,5992,1239,2063,1239,2061,0,2,664,1214,494,1226,1720,325,112,300,510,770,3142,0.601,0.601,0,0.601,0.547,0.605,62352181
785,2013,2017,TOT,NBA,Kyle O'Quinn,321,50,4643,750,1494,731,1408,19,86,241,328,444,1017,1461,378,137,306,307,663,1760,0.502,0.519,0.221,0.508,0.735,0.537,10142987
786,2008,2011,TOT,NBA,Fabricio Oberto,198,95,3016,279,461,279,459,0,2,71,115,255,429,684,205,55,40,128,429,629,0.605,0.608,0,0.605,0.617,0.615,12092680
787,2017,2017,WAS,NBA,Daniel Ochefu,19,0,75,12,27,12,27,0,0,0,2,5,17,22,3,2,0,3,17,24,0.444,0.444,,0.444,0,0.43,543471
788,2009,2014,TOT,NBA,Greg Oden,105,66,2028,317,552,317,552,0,0,206,313,256,400,656,51,40,130,138,374,840,0.574,0.574,,0.574,0.658,0.609,24322868
789,2008,2013,TOT,NBA,Lamar Odom,451,188,13104,1847,3845,1611,3068,236,777,773,1173,885,2771,3656,1218,363,366,721,1195,4703,0.48,0.525,0.304,0.511,0.659,0.539,60197192
790,2013,2013,HOU,NBA,Tim Ohlbrecht,3,0,12,1,3,1,3,0,0,1,1,0,1,1,1,1,0,4,1,3,0.333,0.333,,0.333,1,0.436,933739
791,2008,2013,TOT,NBA,Emeka Okafor,424,421,12899,1983,3713,1983,3712,0,1,878,1540,1280,2754,4034,337,265,631,682,1154,4844,0.534,0.534,0,0.534,0.57,0.552,77518056
792,2016,2017,PHI,NBA,Jahlil Okafor,103,81,2725,639,1252,638,1246,1,6,239,352,203,410,613,123,42,110,215,262,1518,0.51,0.512,0.167,0.511,0.679,0.539,9371520
793,2008,2012,TOT,NBA,Mehmet Okur,247,231,7570,1234,2705,920,1908,314,797,672,828,419,1320,1739,433,160,172,395,741,3454,0.456,0.482,0.394,0.514,0.812,0.563,46835000
794,2014,2017,TOT,NBA,Victor Oladipo,291,234,9661,1702,3924,1319,2816,383,1108,831,1039,181,1086,1267,1080,443,131,732,726,4618,0.434,0.468,0.346,0.483,0.8,0.527,21487440
795,2008,2010,TOT,NBA,Kevin Ollie,115,21,1413,108,264,108,261,0,3,100,119,20,99,119,175,38,4,45,123,316,0.409,0.414,0,0.409,0.84,0.499,6010630
796,2014,2017,BOS,NBA,Kelly Olynyk,278,36,5756,998,2094,744,1403,254,691,378,509,377,933,1310,471,194,128,374,810,2628,0.477,0.53,0.368,0.537,0.743,0.567,9321294
797,2014,2017,TOT,NBA,Arinze Onuaku,19,1,126,15,23,15,23,0,0,4,10,11,24,35,9,1,4,5,12,34,0.652,0.652,,0.652,0.4,0.62,483304
798,2017,2017,HOU,NBA,Chinanu Onuaku,5,1,52,5,7,5,7,0,0,4,4,2,8,10,3,3,1,4,6,14,0.714,0.714,,0.714,1,0.799,543471
799,2012,2014,TOT,NBA,Daniel Orton,51,6,542,50,103,50,102,0,1,43,72,48,78,126,24,18,28,29,81,143,0.485,0.49,0,0.485,0.597,0.531,2891672
800,2016,2017,WAS,NBA,Kelly Oubre,142,14,2276,276,653,197,386,79,267,106,148,86,308,394,60,80,24,84,295,737,0.423,0.51,0.296,0.483,0.716,0.513
801,2008,2008,ORL,NBA,Bo Outlaw,2,0,7,2,3,2,3,0,0,0,0,0,0,0,0,0,0,1,1,4,0.667,0.667,,0.667,,0.667,160071
802,2008,2014,TOT,NBA,Travis Outlaw,419,84,9529,1450,3504,1134,2583,316,921,685,916,325,1118,1443,392,208,221,369,695,3901,0.414,0.439,0.343,0.459,0.748,0.499,40000000
803,2008,2008,IND,NBA,Andre Owens,31,7,392,40,107,22,67,18,40,25,34,13,34,47,47,13,3,24,37,123,0.374,0.328,0.45,0.458,0.735,0.504,687456
804,2011,2012,TOT,NBA,Larry Owens,19,0,218,19,43,11,25,8,18,7,13,3,25,28,12,9,6,7,28,53,0.442,0.44,0.444,0.535,0.538,0.544,141770
805,2008,2017,TOT,NBA,Zaza Pachulia,678,325,13851,1548,3278,1548,3256,0,22,1240,1658,1511,2553,4064,925,468,223,869,1659,4336,0.472,0.475,0,0.472,0.748,0.541,45498000
806,2017,2017,SAC,NBA,Georgios Papagiannis,22,0,355,56,102,56,100,0,2,12,14,24,62,86,20,3,17,24,44,124,0.549,0.56,0,0.549,0.857,0.573,2202240
807,2015,2016,TOT,NBA,Kostas Papanikolaou,69,7,1089,93,263,52,125,41,138,22,32,47,111,158,101,42,18,76,95,249,0.354,0.416,0.297,0.432,0.688,0.449,5150000
808,2008,2015,TOT,NBA,Jannero Pargo,263,10,3819,636,1651,408,991,228,660,154,172,55,284,339,504,131,13,262,322,1654,0.385,0.412,0.345,0.454,0.895,0.479,8181772
809,2012,2013,TOT,NBA,Jeremy Pargo,83,16,1079,149,400,114,288,35,112,58,89,20,66,86,147,28,2,96,92,391,0.373,0.396,0.313,0.416,0.652,0.445,2206062
810,2008,2012,TOT,NBA,Anthony Parker,366,350,10931,1283,2936,812,1765,471,1171,407,516,168,1070,1238,947,347,67,402,627,3444,0.437,0.46,0.402,0.517,0.789,0.544,16649930
811,2015,2017,MIL,NBA,Jabari Parker,152,147,4874,971,1976,893,1747,78,229,383,512,252,595,847,314,150,56,256,307,2403,0.491,0.511,0.341,0.511,0.748,0.546,15457320
812,2008,2008,TOT,NBA,Smush Parker,28,2,592,64,184,46,106,18,78,19,28,4,47,51,84,24,6,44,60,165,0.348,0.434,0.231,0.397,0.679,0.42,3910000
813,2008,2017,SAS,NBA,Tony Parker,672,664,20638,4479,9001,4257,8347,222,654,1999,2570,192,1567,1759,4086,520,58,1539,1001,11179,0.498,0.51,0.339,0.51,0.778,0.552,126032813
814,2012,2017,TOT,NBA,Chandler Parsons,374,358,12005,1948,4177,1345,2562,603,1615,587,826,337,1468,1805,1086,371,135,587,764,5086,0.466,0.525,0.373,0.539,0.711,0.56,54843000
815,2016,2017,ATL,NBA,Lamar Patterson,40,0,435,31,95,18,40,13,55,18,25,5,52,57,45,10,2,27,51,93,0.326,0.45,0.236,0.395,0.72,0.439,753716
816,2011,2017,TOT,NBA,Patrick Patterson,477,73,11434,1516,3302,1105,2185,411,1117,303,407,694,1539,2233,578,283,249,363,884,3746,0.459,0.506,0.368,0.521,0.744,0.538,27135303
817,2008,2008,LAC,NBA,Ruben Patterson,20,5,327,39,86,39,84,0,2,24,43,24,40,64,17,21,7,27,37,102,0.453,0.464,0,0.453,0.558,0.486,304897
818,2008,2017,TOT,NBA,Chris Paul,692,692,24485,4705,9796,3808,7424,897,2372,2941,3367,453,2551,3004,7071,1619,81,1680,1683,13248,0.48,0.513,0.378,0.526,0.873,0.587,153864582
819,2008,2013,TOT,NBA,Sasha Pavlovic,303,72,4535,492,1297,328,799,164,498,98,181,90,442,532,278,128,55,202,470,1246,0.379,0.411,0.329,0.443,0.541,0.453,14158174
820,2015,2017,TOT,NBA,Adreian Payne,102,24,1360,167,419,154,363,13,56,61,91,77,229,306,66,43,27,88,197,408,0.399,0.424,0.232,0.414,0.67,0.444,5816400
821,2016,2017,TOT,NBA,Cameron Payne,88,1,1160,178,471,115,274,63,197,24,32,12,121,133,163,50,10,73,132,443,0.378,0.42,0.32,0.445,0.75,0.457,4134000
822,2015,2017,ORL,NBA,Elfrid Payton,237,190,7046,1049,2350,968,2070,81,280,376,615,273,724,997,1530,319,80,558,529,2555,0.446,0.468,0.289,0.464,0.611,0.487,7517160
823,2017,2017,MIL,NBA,Gary Payton,6,0,99,8,22,7,13,1,9,3,5,0,12,12,13,3,4,10,9,20,0.364,0.538,0.111,0.386,0.6,0.413
824,2008,2010,TOT,NBA,Oleksiy Pecherov,111,5,1044,160,414,115,259,45,155,73,92,88,178,266,20,21,22,59,119,438,0.386,0.444,0.29,0.441,0.793,0.482,4340160
825,2011,2016,MIN,NBA,Nikola Pekovic,271,194,6744,1314,2537,1314,2537,0,0,777,1023,803,1004,1807,199,140,151,414,632,3405,0.518,0.518,,0.518,0.76,0.57,61740800
826,2008,2016,TOT,NBA,Kendrick Perkins,571,469,13656,1371,2548,1371,2539,0,9,620,1054,994,2571,3565,624,209,663,964,1624,3362,0.538,0.54,0,0.538,0.588,0.558,52939683
827,2008,2008,GSW,NBA,Kosta Perovic,7,0,38,3,10,3,10,0,0,4,6,6,7,13,1,0,2,1,6,10,0.3,0.3,,0.3,0.667,0.396,1800000
828,2008,2011,TOT,NBA,Morris Peterson,169,124,3307,406,1005,198,461,208,544,110,158,66,353,419,125,87,14,83,262,1130,0.404,0.43,0.382,0.507,0.696,0.526,23826200
829,2008,2013,TOT,NBA,Johan Petro,324,85,4470,597,1376,595,1363,2,13,151,214,335,870,1205,167,129,136,232,708,1347,0.434,0.437,0.154,0.435,0.706,0.458,13901894
830,2008,2008,PHO,NBA,Eric Piatkowski,16,0,113,12,33,1,7,11,26,4,4,1,11,12,10,0,1,6,11,39,0.364,0.143,0.423,0.53,1,0.561,1219590
831,2008,2017,TOT,NBA,Paul Pierce,691,636,21264,3621,7984,2574,5212,1047,2772,2733,3286,348,2940,3288,2182,668,278,1492,1718,11022,0.454,0.494,0.378,0.519,0.832,0.584,127772043
832,2008,2013,TOT,NBA,Mickael Pietrus,313,91,6746,860,2085,432,891,428,1194,284,423,188,737,925,230,212,135,261,679,2432,0.412,0.485,0.358,0.515,0.671,0.535,26899033
833,2011,2014,TOT,NBA,Dexter Pittman,50,6,347,49,109,49,109,0,0,18,33,38,51,89,9,8,8,22,83,116,0.45,0.45,,0.45,0.545,0.47,2090188
834,2016,2016,UTA,NBA,Tibor Pleiss,12,0,82,11,25,11,23,0,2,2,2,6,9,15,2,1,2,8,19,24,0.44,0.478,0,0.44,1,0.464,6000000
835,2017,2017,NYK,NBA,Marshall Plumlee,21,1,170,16,30,16,30,0,0,8,19,23,28,51,10,4,4,12,23,40,0.533,0.533,,0.533,0.421,0.521,543471
836,2014,2017,TOT,NBA,Mason Plumlee,315,213,7250,1080,1931,1080,1915,0,16,668,1147,645,1408,2053,644,251,295,471,857,2828,0.559,0.564,0,0.559,0.582,0.581,6399770
837,2013,2017,TOT,NBA,Miles Plumlee,273,133,4567,611,1153,611,1153,0,0,158,280,454,841,1295,116,130,222,235,447,1380,0.53,0.53,,0.53,0.564,0.541,17973974
838,2017,2017,TOR,NBA,Jakob Poeltl,54,4,626,67,115,67,115,0,0,31,57,78,87,165,12,17,20,29,113,165,0.583,0.583,,0.583,0.544,0.589,2703960
839,2008,2008,BOS,NBA,Scot Pollard,22,0,173,12,23,12,23,0,0,15,22,14,23,37,3,3,6,5,43,39,0.522,0.522,,0.522,0.682,0.597,1219590
840,2011,2015,TOT,NBA,Quincy Pondexter,279,47,5042,528,1244,326,691,202,553,208,284,184,383,567,230,103,46,154,416,1466,0.424,0.472,0.365,0.506,0.732,0.535,15832948
841,2014,2017,WAS,NBA,Otto Porter,266,166,6632,962,2002,677,1269,285,733,260,336,306,877,1183,316,273,105,180,479,2469,0.481,0.533,0.389,0.552,0.774,0.574,19305421
842,2016,2017,CHI,NBA,Bobby Portis,126,17,2102,369,811,321,663,48,148,87,125,198,435,633,87,41,33,91,194,873,0.455,0.484,0.324,0.485,0.696,0.504,2844840
843,2016,2017,NYK,NBA,Kristaps Porzingis,138,137,4211,816,1871,623,1314,193,557,399,492,243,758,1001,191,100,263,239,449,2224,0.436,0.474,0.346,0.488,0.811,0.533,8449440
844,2008,2011,TOT,NBA,James Posey,275,4,6531,596,1524,226,477,370,1047,290,356,110,1050,1160,347,196,65,219,705,1852,0.391,0.474,0.353,0.512,0.815,0.551,29567200
845,2008,2011,TOT,NBA,Leon Powe,176,17,2600,411,775,411,772,0,3,398,595,283,413,696,68,55,60,142,399,1220,0.53,0.532,0,0.53,0.669,0.588,3256078
846,2015,2017,TOT,NBA,Dwight Powell,175,5,2561,371,740,345,639,26,101,237,316,195,434,629,102,106,69,85,293,1005,0.501,0.54,0.257,0.519,0.75,0.572,9727395
847,2008,2014,TOT,NBA,Josh Powell,242,26,3184,418,962,411,942,7,20,157,213,279,484,763,131,37,52,203,378,1000,0.435,0.436,0.35,0.438,0.737,0.474,3683677
848,2008,2008,MIA,NBA,Kasib Powell,11,4,304,35,95,27,62,8,33,6,9,8,36,44,18,9,2,5,18,84,0.368,0.435,0.242,0.411,0.667,0.424
849,2016,2017,TOR,NBA,Norman Powell,125,42,2093,324,735,232,473,92,262,169,212,42,238,280,129,81,24,102,186,909,0.441,0.49,0.351,0.503,0.797,0.549,1524636
850,2017,2017,PHI,NBA,Alex Poythress,6,1,157,25,54,19,35,6,19,8,10,11,18,29,5,3,2,3,14,64,0.463,0.543,0.316,0.519,0.8,0.548,74284
851,2014,2016,TOT,NBA,Phil Pressey,148,11,2015,172,505,124,316,48,189,75,119,36,180,216,433,116,15,161,179,467,0.341,0.392,0.254,0.388,0.63,0.419,1135665
852,2010,2015,TOT,NBA,A.J. Price,261,25,3929,549,1444,331,754,218,690,207,279,68,309,377,567,125,9,229,237,1523,0.38,0.439,0.316,0.456,0.742,0.486,3021844
853,2008,2017,TOT,NBA,Ronnie Price,457,72,6580,650,1750,433,1034,217,716,246,333,156,416,572,901,390,52,433,848,1763,0.371,0.419,0.303,0.433,0.739,0.465,13092170
854,2013,2016,TOT,NBA,Pablo Prigioni,270,51,4566,334,786,131,251,203,535,75,86,145,360,505,765,268,6,257,429,946,0.425,0.522,0.379,0.554,0.872,0.574,5760224
855,2008,2016,TOT,NBA,Tayshaun Prince,647,571,19502,2809,6282,2509,5467,300,815,843,1139,646,2041,2687,1531,329,252,600,704,6761,0.447,0.459,0.368,0.471,0.74,0.498,69147947
856,2008,2009,BOS,NBA,Gabe Pruitt,62,0,461,45,140,28,80,17,60,18,23,10,41,51,52,20,3,24,44,125,0.321,0.35,0.283,0.382,0.783,0.416,1361517
857,2008,2013,TOT,NBA,Joel Przybilla,264,148,5488,405,701,405,699,0,2,253,389,542,1366,1908,85,65,266,267,699,1063,0.578,0.579,0,0.578,0.65,0.609,28832958
858,2017,2017,POR,NBA,Tim Quarterman,16,0,80,13,29,8,16,5,13,0,3,4,10,14,11,2,3,11,6,31,0.448,0.5,0.385,0.534,0,0.511
859,2008,2013,TOT,NBA,Chris Quinn,199,25,2895,333,825,192,455,141,370,144,172,24,212,236,390,87,8,116,217,951,0.404,0.422,0.381,0.489,0.837,0.528,3577015
860,2008,2013,TOT,NBA,Vladimir Radmanovic,332,101,5887,721,1734,366,795,355,939,169,216,260,738,998,390,194,97,314,603,1966,0.416,0.46,0.378,0.518,0.782,0.537,27736362
861,2014,2015,TOT,NBA,Miroslav Raduljica,53,2,488,71,134,71,134,0,0,47,57,56,57,113,23,8,13,30,92,189,0.53,0.53,,0.53,0.825,0.594,996100
862,2017,2017,TOT,NBA,Chasson Randle,26,0,299,40,98,24,51,16,47,41,43,6,26,32,34,9,2,19,39,137,0.408,0.471,0.34,0.49,0.953,0.586,541171
863,2015,2017,LAL,NBA,Julius Randle,156,133,4432,736,1611,709,1512,27,99,397,554,322,1143,1465,408,102,66,323,491,1896,0.457,0.469,0.273,0.465,0.717,0.511,9396720
864,2009,2014,TOT,NBA,Anthony Randolph,252,43,3841,677,1494,657,1411,20,83,415,561,335,743,1078,187,150,224,298,456,1789,0.453,0.466,0.241,0.46,0.74,0.514,13673791
865,2008,2015,TOT,NBA,Shavlik Randolph,76,0,536,62,142,61,136,1,6,26,56,77,99,176,13,18,16,29,87,151,0.437,0.449,0.167,0.44,0.464,0.453,3477796
866,2008,2017,TOT,NBA,Zach Randolph,670,559,21929,4632,9765,4515,9302,117,463,2138,2826,2236,4590,6826,1328,531,186,1358,1632,11519,0.474,0.485,0.253,0.48,0.757,0.523,147666666
867,2008,2011,TOT,NBA,Theo Ratliff,131,38,1894,146,307,146,306,0,1,88,130,143,244,387,51,38,150,79,230,380,0.476,0.477,0,0.476,0.677,0.522,15587577
868,2011,2011,NYK,NBA,Andy Rautins,5,0,24,3,7,2,3,1,4,1,2,0,1,1,3,1,0,7,0,8,0.429,0.667,0.25,0.5,0.5,0.508,1388872
869,2008,2012,TOT,NBA,Michael Redd,184,117,5301,1036,2408,772,1649,264,759,672,832,134,421,555,419,134,18,290,222,3008,0.43,0.468,0.348,0.485,0.808,0.542,66948506
870,2008,2017,TOT,NBA,J.J. Redick,648,319,16543,2681,5977,1448,3011,1233,2966,1367,1540,119,1153,1272,1240,310,52,704,967,7962,0.449,0.481,0.416,0.552,0.888,0.598,54297288
871,2016,2017,TOT,NBA,Willie Reed,110,7,1457,238,418,237,414,1,4,79,143,178,276,454,36,24,77,47,184,556,0.569,0.572,0.25,0.571,0.552,0.578,1962972
872,2012,2012,OKC,NBA,Ryan Reid,5,0,17,4,5,4,5,0,0,0,0,1,1,2,0,0,0,1,1,8,0.8,0.8,,0.8,,0.8,475000
873,2014,2015,WAS,NBA,Glen Rice,16,1,152,14,52,8,28,6,24,9,13,6,18,24,9,6,1,11,18,43,0.269,0.286,0.25,0.327,0.692,0.372
874,2008,2010,TOT,NBA,Chris Richard,70,3,780,56,116,56,116,0,0,23,38,71,123,194,25,18,16,38,133,135,0.483,0.483,,0.483,0.605,0.509,470482
875,2008,2015,TOT,NBA,Jason Richardson,419,411,13702,2498,5606,1590,3263,908,2343,732,997,373,1509,1882,890,457,171,550,894,6636,0.446,0.487,0.388,0.527,0.734,0.549,75111108
876,2008,2009,TOT,NBA,Jeremy Richardson,39,1,225,30,93,17,57,13,36,5,8,2,21,23,5,3,0,9,19,78,0.323,0.298,0.361,0.392,0.625,0.404,1620157
877,2016,2017,MIA,NBA,Josh Richardson,105,36,2721,325,785,197,443,128,342,102,140,56,219,275,213,96,64,100,239,880,0.414,0.445,0.374,0.496,0.729,0.52,1399729
878,2017,2017,SAC,NBA,Malachi Richardson,22,0,198,28,68,20,40,8,28,15,19,3,20,23,11,5,1,8,23,79,0.412,0.5,0.286,0.471,0.789,0.517,1439880
879,2008,2013,TOT,NBA,Quentin Richardson,319,213,7667,865,2246,449,1074,416,1172,261,352,250,1069,1319,403,214,51,269,603,2407,0.385,0.418,0.355,0.478,0.741,0.501,37690507
880,2008,2015,TOT,NBA,Luke Ridnour,529,270,13222,1854,4220,1456,3092,398,1128,739,851,198,968,1166,2149,462,90,802,1130,4845,0.439,0.471,0.353,0.486,0.868,0.527,38250000
881,2013,2017,TOT,NBA,Austin Rivers,347,71,7838,1089,2607,813,1807,276,800,465,714,111,570,681,745,215,51,392,726,2919,0.418,0.45,0.345,0.471,0.651,0.5,21117240
882,2014,2017,OKC,NBA,Andre Roberson,256,230,5614,476,1006,376,621,100,385,110,223,273,730,1003,211,219,160,151,552,1162,0.473,0.605,0.26,0.523,0.493,0.526,5665592
883,2009,2009,TOT,NBA,Anthony Roberson,29,0,276,44,120,18,39,26,81,5,5,6,16,22,20,10,1,8,18,119,0.367,0.462,0.321,0.475,1,0.487,797581
884,2013,2017,TOT,NBA,Brian Roberts,314,59,5207,753,1831,536,1221,217,610,336,370,58,364,422,721,132,19,272,368,2059,0.411,0.439,0.356,0.471,0.908,0.516,7900377
885,2015,2017,TOT,NBA,Glenn Robinson,149,32,2196,249,556,181,375,68,181,97,139,84,269,353,84,64,30,66,99,663,0.448,0.483,0.376,0.509,0.698,0.537
886,2008,2016,TOT,NBA,Nate Robinson,482,76,10978,2001,4723,1331,2827,670,1896,820,1016,274,853,1127,1589,434,35,690,1121,5492,0.424,0.471,0.353,0.495,0.807,0.531,22439621
887,2013,2017,TOT,NBA,Thomas Robinson,313,12,4204,640,1361,640,1355,0,6,248,491,542,965,1507,190,161,111,319,546,1528,0.47,0.472,0,0.47,0.505,0.484,12611701
888,2008,2017,TOT,NBA,Sergio Rodriguez,286,51,4419,575,1412,397,897,178,515,172,235,101,333,434,965,177,11,414,369,1500,0.407,0.443,0.346,0.47,0.732,0.495,11757835
889,2008,2017,TOT,NBA,Rajon Rondo,636,609,21214,2992,6421,2758,5660,234,761,887,1476,715,2476,3191,5778,1156,88,1933,1430,7105,0.466,0.487,0.307,0.484,0.601,0.502,83139284
890,2009,2017,TOT,NBA,Derrick Rose,470,469,16292,3562,7897,3199,6679,363,1218,1668,2033,424,1311,1735,2799,372,172,1333,655,9155,0.451,0.479,0.298,0.474,0.82,0.521,116861524
891,2008,2009,TOT,NBA,Malik Rose,87,3,964,111,311,109,297,2,14,77,102,48,151,199,64,26,10,76,152,301,0.357,0.367,0.143,0.36,0.755,0.423,14748750
892,2008,2011,TOT,NBA,Quinton Ross,232,62,3584,296,764,250,631,46,133,87,130,110,267,377,157,91,59,83,355,725,0.387,0.396,0.346,0.418,0.669,0.441,3860682
893,2013,2017,TOT,NBA,Terrence Ross,387,156,9192,1409,3333,765,1609,644,1724,269,335,149,864,1013,362,301,124,319,704,3731,0.423,0.475,0.374,0.519,0.803,0.536,21589837
894,2008,2013,TOT,NBA,Brandon Roy,269,245,9546,1875,4084,1608,3305,267,779,1164,1466,289,849,1138,1287,268,66,479,491,5181,0.459,0.487,0.343,0.492,0.794,0.548,80207951
895,2016,2017,BOS,NBA,Terry Rozier,113,0,1574,180,517,117,311,63,206,59,76,64,226,290,168,52,12,66,92,482,0.348,0.376,0.306,0.409,0.776,0.438,3730800
896,2012,2017,MIN,NBA,Ricky Rubio,353,333,11217,1137,3028,899,2272,238,756,1141,1374,253,1245,1498,2991,747,45,976,920,3653,0.375,0.396,0.315,0.415,0.83,0.503,42209046
897,2015,2017,TOT,NBA,Damjan Rudez,146,2,1638,175,413,69,129,106,284,24,31,18,74,92,84,31,7,69,143,480,0.424,0.535,0.373,0.552,0.774,0.563,3229931
898,2008,2009,TOT,NBA,Michael Ruffin,57,2,667,35,69,35,69,0,0,27,65,96,101,197,24,34,20,21,100,97,0.507,0.507,,0.507,0.415,0.497,2175768
899,2009,2017,TOT,NBA,Brandon Rush,481,163,10564,1220,2861,698,1561,522,1300,288,408,187,1226,1413,468,222,262,400,620,3250,0.426,0.447,0.402,0.518,0.706,0.534,22675676
900,2008,2010,TOT,NBA,Kareem Rush,103,16,1761,252,638,139,340,113,298,34,46,20,169,189,108,49,23,75,126,651,0.395,0.409,0.379,0.484,0.739,0.495,2316541
901,2016,2017,LAL,NBA,D'Angelo Russell,143,108,4070,743,1823,478,1069,265,754,287,378,78,417,495,569,180,29,372,272,2038,0.408,0.447,0.351,0.48,0.759,0.512,10435920
902,2012,2012,DET,NBA,Walker Russell,28,0,357,33,95,29,82,4,13,14,22,7,19,26,58,18,1,33,29,84,0.347,0.354,0.308,0.368,0.636,0.401,374289
903,2017,2017,OKC,NBA,Domantas Sabonis,81,66,1632,192,481,141,322,51,159,44,67,46,242,288,82,39,32,83,200,479,0.399,0.438,0.321,0.452,0.657,0.469,2440200
904,2013,2016,LAL,NBA,Robert Sacre,189,35,2745,318,729,318,728,0,1,151,225,212,381,593,126,56,110,102,336,787,0.436,0.437,0,0.436,0.671,0.475,3159067
905,2008,2015,TOT,NBA,John Salmons,535,353,16378,2258,5199,1689,3681,569,1518,1106,1363,274,1469,1743,1411,491,164,784,1045,6191,0.434,0.459,0.375,0.489,0.811,0.534,50478000
906,2008,2009,TOT,NBA,Cheikh Samb,22,0,114,9,36,9,33,0,3,4,9,13,18,31,1,4,12,4,15,22,0.25,0.273,0,0.25,0.444,0.275,1224744
907,2015,2016,TOT,NBA,JaKarr Sampson,147,72,2291,286,663,241,473,45,190,143,216,81,272,353,123,61,59,146,277,760,0.431,0.51,0.237,0.465,0.662,0.501,1637884
908,2011,2013,CLE,NBA,Samardo Samuels,109,11,1722,237,532,237,528,0,4,164,251,148,218,366,45,38,41,115,231,638,0.445,0.449,0,0.445,0.653,0.497,1603951
909,2011,2017,TOT,NBA,Larry Sanders,238,113,4635,669,1395,669,1390,0,5,182,329,475,870,1345,174,152,429,224,666,1520,0.48,0.481,0,0.48,0.553,0.494,23577824
910,2017,2017,PHI,NBA,Dario Saric,81,36,2129,381,927,275,586,106,341,172,220,112,401,513,182,57,30,183,162,1040,0.411,0.469,0.311,0.468,0.782,0.508,2318280
911,2017,2017,WAS,NBA,Tomas Satoransky,57,3,719,61,147,52,110,9,37,23,33,25,58,83,92,26,6,38,60,154,0.415,0.473,0.243,0.446,0.697,0.477,2870813
912,2008,2012,TOT,NBA,Brian Scalabrine,185,20,1698,130,342,74,174,56,168,38,50,47,159,206,106,33,32,69,222,354,0.38,0.425,0.333,0.462,0.76,0.486,12202126
913,2014,2017,ATL,NBA,Dennis Schroder,285,94,6263,1233,2848,994,2125,239,723,539,659,101,575,676,1258,210,29,652,468,3244,0.433,0.468,0.331,0.475,0.818,0.517,7510862
914,2008,2017,TOT,NBA,Luis Scola,743,505,19001,3669,7442,3577,7171,92,271,1452,1961,1335,3606,4941,1194,474,224,1121,2037,8882,0.493,0.499,0.339,0.499,0.74,0.535,65252186
915,2013,2017,ATL,NBA,Mike Scott,281,7,4322,765,1663,571,1085,194,578,264,336,209,627,836,257,88,32,189,350,1988,0.46,0.526,0.336,0.518,0.786,0.549,11262476
916,2008,2017,TOT,NBA,Thabo Sefolosha,669,463,16343,1581,3529,1164,2318,417,1211,565,758,533,2189,2722,1051,783,326,625,1175,4144,0.448,0.502,0.344,0.507,0.745,0.536,32545948
917,2012,2013,MEM,NBA,Josh Selby,38,0,296,31,94,28,73,3,21,18,25,2,18,20,34,9,0,36,24,83,0.33,0.384,0.143,0.346,0.72,0.395,1312195
918,2017,2017,TOT,NBA,Wayne Selden,14,5,236,25,58,18,30,7,28,14,22,1,15,16,13,6,1,12,18,71,0.431,0.6,0.25,0.491,0.636,0.525,115088
919,2008,2009,TOT,NBA,Mouhamed Sene,19,0,91,17,33,17,33,0,0,16,27,12,18,30,1,1,10,4,11,50,0.515,0.515,,0.515,0.593,0.557,4357920
920,2011,2017,TOT,NBA,Kevin Seraphin,423,34,6430,1134,2318,1134,2311,0,7,248,347,502,960,1462,246,88,304,449,903,2516,0.489,0.491,0,0.489,0.715,0.509,16300886
921,2008,2017,TOT,NBA,Ramon Sessions,663,143,15727,2364,5422,2164,4790,200,632,2077,2624,333,1469,1802,2730,458,50,1143,913,7005,0.436,0.452,0.316,0.454,0.792,0.533,33290105
