Rk,From,To,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,SALARY
748,2017,2017,DEN,NBA,Jamal Murray,82,10,1764,295,730,180,386,115,344,106,120,41,173,214,170,51,24,113,124,811,0.404,0.466,0.334,0.483,0.883,0.518,3210840
749,2008,2010,TOT,NBA,Ronald Murray,197,23,4522,777,1845,601,1319,176,526,386,525,73,361,434,437,172,37,303,349,2116,0.421,0.456,0.335,0.469,0.735,0.51,5380000
750,2014,2015,TOT,NBA,Toure' Murry,56,0,391,58,134,53,122,5,12,25,41,14,31,45,50,20,1,38,48,146,0.433,0.434,0.417,0.451,0.61,0.48,346056
751,2014,2017,ATL,NBA,Mike Muscala,190,11,2519,360,713,293,539,67,174,116,142,183,345,528,161,62,97,115,250,903,0.505,0.544,0.385,0.552,0.817,0.582,2779454
752,2008,2009,HOU,NBA,Dikembe Mutombo,48,27,715,48,93,48,93,0,0,38,54,80,152,232,5,11,59,23,66,134,0.516,0.516,,0.516,0.704,0.574,2014081
753,2011,2014,TOT,NBA,Hamady N'Diaye,33,0,157,7,15,7,15,0,0,6,13,7,18,25,3,2,9,6,33,20,0.467,0.467,,0.467,0.462,0.483,744031
754,2008,2008,NJN,NBA,Bostjan Nachbar,75,1,1660,245,609,151,347,94,262,154,196,56,204,260,88,44,21,85,182,738,0.402,0.435,0.359,0.479,0.786,0.531,2500000
755,2008,2012,TOT,NBA,Eduardo Najera,204,8,3310,319,724,223,425,96,299,93,150,189,424,613,175,135,68,122,435,827,0.441,0.525,0.321,0.507,0.62,0.523,17052380
756,2016,2017,LAL,NBA,Larry Nance,126,29,2708,348,661,337,615,11,46,91,127,221,460,681,140,136,62,97,273,798,0.526,0.548,0.239,0.535,0.717,0.557
757,2015,2017,TOT,NBA,Shabazz Napier,159,12,2124,228,612,117,298,111,314,115,150,34,195,229,294,95,7,168,152,682,0.373,0.393,0.354,0.463,0.767,0.503,3883200
758,2008,2014,TOT,NBA,Steve Nash,438,433,14322,2378,4733,1766,3315,612,1418,1112,1211,177,1213,1390,4445,273,46,1489,557,6480,0.502,0.533,0.432,0.567,0.918,0.615,86651500
759,2008,2008,MEM,NBA,Juan Carlos Navarro,82,30,2117,308,766,152,334,156,432,124,146,34,176,210,177,48,1,134,94,896,0.402,0.455,0.361,0.504,0.849,0.54,538090
760,2017,2017,NYK,NBA,Maurice Ndour,32,4,331,39,86,38,79,1,7,19,26,22,42,64,8,15,8,12,30,98,0.453,0.481,0.143,0.459,0.731,0.503,1505883
761,2011,2017,TOT,NBA,Gary Neal,352,31,7507,1275,3021,815,1818,460,1203,460,541,81,679,760,573,145,10,365,525,3470,0.422,0.448,0.382,0.498,0.85,0.532,10813777
762,2014,2014,GSW,NBA,Nemanja Nedovic,24,0,142,8,39,5,21,3,18,7,8,3,12,15,13,0,1,13,13,26,0.205,0.238,0.167,0.244,0.875,0.306,2160960
763,2009,2009,GSW,NBA,DeMarcus Nelson,13,5,171,24,54,24,51,0,3,5,14,6,18,24,13,9,2,15,24,53,0.444,0.471,0,0.444,0.357,0.44,182047
