salary,season,team
7920000,2007-08,New York Knicks
8640000,2008-09,Golden State Warriors
9360000,2009-10,Atlanta Hawks
10800000,2010-11,Atlanta Hawks
5000000,2011-12,Portland Trail Blazers
5000000,2012-13,Los Angeles Clippers
5225000,2013-14,Los Angeles Clippers
5450000,2014-15,Los Angeles Clippers
5675000,2015-16,Los Angeles Clippers
13253012,2016-17,Los Angeles Clippers
