turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2006-07,20,113,99,291,University of Connecticut,256,,37,93,2,31
78,2007-08,21,192,160,478,University of Connecticut,366,,43,117,3,33
94,2008-09,22,164,170,515,University of Connecticut,417,,24,122,0,35
