turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
78,2007-08,18,111,134,379,University of Nevada, Reno,278,,25,133,7,33
84,2008-09,19,145,193,527,University of Nevada, Reno,448,,30,122,6,34
114,2009-10,20,189,219,535,University of Nevada, Reno,442,1172,28,115,12,34
