turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2004-05,18,166,106,288,University of Nevada, Reno,257,994,47,120,3,32
,2005-06,19,153,60,145,University of Nevada, Reno,167,813,37,129,4,31
,2006-07,20,159,140,417,University of Nevada, Reno,310,1028,29,161,7,34
