salary,season,team
427163,2007-08,Milwaukee Bucks
722517,2008-09,Milwaukee Bucks
3670667,2009-10,Minnesota Timberwolves
3964320,2010-11,Cleveland Cavaliers
4257973,2011-12,Cleveland Cavaliers
5000000,2012-13,Charlotte Bobcats
5000000,2013-14,Charlotte Bobcats
2077000,2014-15,Washington Wizards
2170465,2015-16,Washington Wizards
6000000,2016-17,Charlotte Hornets
