salary,season,team
2356320,2010-11,Utah Jazz
2532960,2011-12,Utah Jazz
2709720,2012-13,Utah Jazz
3452183,2013-14,Utah Jazz
14746000,2014-15,Utah Jazz
15409570,2015-16,Utah Jazz
16073140,2016-17,Utah Jazz
