off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
52,18,.471,24,2007-08,23,MIN,41,98,87,556,C,83,regular,10,12,52
19,7,.517,14,2009-10,25,CHI,15,37,29,224,PF,40,regular,8,4,18
1,0,,0,2009-10,25,CHI,0,0,0,5,PF,2,playoffs,0,0,2
