salary,season,team
98637,2010-11,Milwaukee Bucks
71736,2010-11,San Antonio Spurs
572943,2012-13,Washington Wizards
916099,2013-14,Washington Wizards
981084,2014-15,Washington Wizards
1100602,2015-16,Washington Wizards
8000000,2016-17,Sacramento Kings
