salary,season,team
473604,2011-12,Washington Wizards
89670,2012-13,Philadelphia 76ers
67253,2012-13,Washington Wizards
884293,2013-14,Atlanta Hawks
2433333,2014-15,Atlanta Hawks
2433333,2015-16,Utah Jazz
2433334,2016-17,Utah Jazz
