salary,season,team
473604,2010-11,Utah Jazz
762195,2011-12,Utah Jazz
1794872,2012-13,Utah Jazz
1660257,2013-14,Utah Jazz
1794871,2014-15,Utah Jazz
1100602,2015-16,Dallas Mavericks
1227286,2016-17,Indiana Pacers
