turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2004-05,18,67,154,419,Virginia Military Institute,357,,38,127,5,27
,2005-06,19,69,172,514,Virginia Military Institute,372,,27,188,4,27
,2006-07,20,146,338,928,Virginia Military Institute,636,,55,263,10,33
76,2007-08,21,97,269,695,Virginia Military Institute,509,,55,242,17,25
