turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2002-03,18,15,88,274,Michigan State University,201,623,33,165,19,35
,2003-04,19,59,163,474,Michigan State University,287,847,44,187,19,30
,2004-05,20,50,157,392,Michigan State University,290,861,35,257,20,32
,2005-06,21,54,206,578,Michigan State University,364,1018,34,301,29,33
