turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,1997-98,18,62,139,372,St. John's University,335,,52,201,36,32
105,1998-99,19,156,196,535,St. John's University,418,1265,76,232,44,37
