salary,season,team
1039800,2009-10,Chicago Bulls
1117680,2010-11,Chicago Bulls
1195680,2011-12,Chicago Bulls
2155811,2012-13,Chicago Bulls
7550000,2013-14,Chicago Bulls
8000000,2014-15,Chicago Bulls
8500000,2015-16,Chicago Bulls
8950000,2016-17,Oklahoma City Thunder
