off_rb,assist,effective_field_goal,turn_over,season,age,team,field_goal,points,field_goal_total,minutes_played,position,def_rb,stats_type,steal,block,game_played
24,6,.472,16,2013-14,21,MIN,57,143,124,290,SG,29,regular,8,1,37
63,44,.514,35,2014-15,22,MIN,194,512,397,866,SG,91,regular,18,7,38
100,52,.498,70,2015-16,23,MIN,317,863,681,1682,SF,167,regular,24,7,82
84,35,.523,56,2016-17,24,MIN,288,772,598,1516,SF,136,regular,22,6,78
