salary,season,team
1233840,2007-08,Philadelphia 76ers
1326360,2008-09,Philadelphia 76ers
1418880,2009-10,Philadelphia 76ers
2187913,2010-11,New Orleans Hornets
2500000,2011-12,New Orleans Hornets
2500000,2012-13,New Orleans Hornets
2500000,2013-14,New Orleans Pelicans
3278000,2014-15,New York Knicks
4300000,2015-16,Orlando Magic
5000000,2016-17,Washington Wizards
