turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2005-06,19,51,65,207,Marquette University,163,,29,93,5,23
,2006-07,20,75,133,430,Marquette University,304,,49,179,5,34
57,2007-08,21,59,121,395,Marquette University,279,,34,155,10,35
82,2008-09,22,86,193,641,Marquette University,406,,43,201,18,35
