turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
41,1995-96,20,9,35,96,University of Pittsburgh,85,389,8,80,27,27
88,1996-97,21,30,101,264,University of Pittsburgh,207,760,20,198,78,29
