turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,1997-98,18,72,46,135,Rice University,129,,30,73,2,28
,1998-99,19,116,68,230,Rice University,174,967,57,124,10,28
,1999-00,20,70,112,331,Rice University,281,783,40,84,2,31
,2000-01,21,90,190,604,Rice University,434,1114,59,147,8,30
