turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
62,1995-96,18,28,138,316,University of California, Los Angeles,204,921,18,214,102,31
86,1996-97,19,48,152,349,University of California, Los Angeles,201,846,19,207,61,32
,1997-98,20,13,57,149,University of California, Los Angeles,95,,7,107,25,15
