salary,season,team
9000000,2007-08,Phoenix Suns
9000000,2008-09,Charlotte Bobcats
9000000,2009-10,Charlotte Bobcats
9000000,2010-11,Charlotte Bobcats
9000000,2011-12,Charlotte Bobcats
4500000,2012-13,San Antonio Spurs
4702500,2013-14,San Antonio Spurs
7500000,2014-15,San Antonio Spurs
7000000,2015-16,San Antonio Spurs
7000000,2016-17,Utah Jazz
