turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,1989-90,18,4,9,31,California State University, Fullerton,22,98,,18,,18
,1990-91,19,75,89,275,California State University, Fullerton,236,849,,169,,28
,1991-92,20,75,138,408,California State University, Fullerton,311,969,,196,,28
,1992-93,21,62,148,441,California State University, Fullerton,318,987,,176,,27
