turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2005-06,19,2,4,13,West Virginia University,8,36,1,7,7,10
,2006-07,20,70,144,370,West Virginia University,339,899,22,155,38,36
80,2007-08,21,88,219,607,West Virginia University,474,1137,26,231,54,36
