turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
26,2014-15,20,12,93,233,University of Virginia,181,582,9,172,22,34
25,2015-16,21,15,119,271,University of Virginia,198,581,10,161,22,37
