turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
25,2011-12,19,30,85,239,University of Notre Dame,201,820,17,150,5,34
31,2012-13,20,75,109,310,University of Notre Dame,245,1123,16,164,12,35
35,2013-14,21,95,155,441,University of Notre Dame,343,1190,33,227,18,32
44,2014-15,22,57,166,475,University of Notre Dame,356,1351,27,282,36,38
