salary,season,team
427163,2007-08,Miami Heat
711517,2008-09,Miami Heat
825497,2009-10,Miami Heat
3300000,2010-11,Miami Heat
3600000,2011-12,Miami Heat
3750000,2012-13,Miami Heat
3800000,2013-14,Miami Heat
3800000,2014-15,Detroit Pistons
2500000,2015-16,Detroit Pistons
663810,2016-17,San Antonio Spurs
