salary,season,team
2243543,2007-08,Atlanta Hawks
10000000,2008-09,Atlanta Hawks
10800000,2009-10,Atlanta Hawks
11600000,2010-11,Atlanta Hawks
12400000,2011-12,Atlanta Hawks
13200000,2012-13,Atlanta Hawks
13500000,2013-14,Detroit Pistons
14000000,2014-15,Detroit Pistons
2077000,2014-15,Houston Rockets
5400000,2015-16,Detroit Pistons
1499000,2015-16,Houston Rockets
5400000,2016-17,Detroit Pistons
