turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,1997-98,18,104,65,191,University of California, Los Angeles,166,,64,122,12,33
127,1998-99,19,142,144,411,University of California, Los Angeles,331,1053,49,116,11,31
102,1999-00,20,195,137,376,University of California, Los Angeles,304,1146,60,129,15,33
108,2000-01,21,166,172,471,University of California, Los Angeles,349,1115,62,117,11,32
