turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
24,2011-12,18,39,58,151,University of California, Los Angeles,154,586,16,74,9,33
38,2012-13,19,37,79,212,University of California, Los Angeles,182,773,25,76,18,35
38,2013-14,20,63,153,422,University of California, Los Angeles,287,952,51,105,14,37
80,2014-15,21,75,213,591,University of California, Los Angeles,467,1244,66,169,16,36
