salary,season,team
3875040,2008-09,Memphis Grizzlies
4165560,2009-10,Memphis Grizzlies
4456200,2010-11,Memphis Grizzlies
5632637,2011-12,Memphis Grizzlies
4020000,2012-13,Dallas Mavericks
8000000,2013-14,Milwaukee Bucks
8000000,2014-15,Milwaukee Bucks
8000000,2015-16,Milwaukee Bucks
