turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
39,2014-15,21,88,171,516,Wichita State University,395,1145,45,157,27,35
54,2015-16,22,113,160,491,Wichita State University,377,1106,53,168,21,35
