turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
59,1995-96,19,33,201,484,University of North Carolina,322,1052,25,309,33,32
63,1996-97,20,30,270,668,University of North Carolina,496,1199,40,329,22,35
,1997-98,21,30,316,822,University of North Carolina,546,,28,389,30,37
