turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
26,2009-10,18,33,55,162,Georgetown University,122,663,31,80,14,34
26,2010-11,19,23,98,274,Georgetown University,189,746,25,142,14,32
55,2011-12,20,49,155,423,Georgetown University,334,1025,22,182,15,33
