salary,season,team
16000000,2007-08,Boston Celtics
18388430,2008-09,Boston Celtics
18776860,2009-10,Boston Celtics
10000000,2010-11,Boston Celtics
10000000,2011-12,Boston Celtics
3090000,2012-13,Miami Heat
3229050,2013-14,Miami Heat
