turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
20,2009-10,19,11,31,79,University of North Carolina,71,280,7,45,2,27
38,2011-12,21,24,128,325,University of California, Los Angeles,263,908,22,202,7,32
29,2012-13,22,33,102,242,University of California, Los Angeles,229,796,17,171,9,34
33,2013-14,23,28,93,242,University of California, Los Angeles,185,848,23,142,7,37
