salary,season,team
473604,2011-12,Milwaukee Bucks
762195,2012-13,Memphis Grizzlies
967500,2014-15,Memphis Grizzlies
1035000,2015-16,Phoenix Suns
10991957,2016-17,Detroit Pistons
