turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,1988-89,17,90,92,265,University of California, Los Angeles,203,929,,59,,31
,1989-90,18,199,132,374,University of California, Los Angeles,283,1069,,71,,33
,1990-91,19,217,129,371,University of California, Los Angeles,278,1030,,77,,32
,1991-92,20,130,52,185,University of California, Los Angeles,120,642,,43,,33
