turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
52,2008-09,19,53,61,158,Old Dominion University,141,,33,107,8,35
74,2009-10,20,121,120,303,Old Dominion University,247,962,67,150,17,36
82,2010-11,21,98,149,417,Old Dominion University,310,1045,76,172,30,34
112,2011-12,22,107,186,538,Old Dominion University,457,1103,74,213,12,35
