turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
83,2008-09,19,122,98,273,California State University, Long Beach,238,,34,64,1,30
102,2009-10,20,159,127,392,California State University, Long Beach,341,1097,69,104,5,33
102,2010-11,21,150,172,585,California State University, Long Beach,408,1187,56,84,6,34
81,2011-12,22,114,189,591,California State University, Long Beach,471,1146,46,82,3,34
