salary,season,team
1035960,2010-11,Memphis Grizzlies
1113600,2011-12,New Orleans Hornets
1191240,2012-13,New Orleans Hornets
2150188,2013-14,Sacramento Kings
6400000,2014-15,Toronto Raptors
6600000,2015-16,Milwaukee Bucks
4347826,2016-17,Brooklyn Nets
