salary,season,team
1254720,2010-11,Portland Trail Blazers
1348800,2011-12,Portland Trail Blazers
1442880,2012-13,Portland Trail Blazers
107676,2014-15,New Orleans Pelicans
53838,2014-15,Utah Jazz
53838,2014-15,Charlotte Hornets
80000,2015-16,Charlotte Hornets
55722,2015-16,Memphis Grizzlies
250000,2016-17,Golden State Warriors
