turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2005-06,20,20,36,96,University of Wisconsin,76,,7,50,6,16
,2006-07,21,30,81,211,University of Wisconsin,156,,20,116,31,36
65,2007-08,22,50,146,389,University of Wisconsin,313,,16,194,27,36
54,2008-09,23,51,166,418,University of Wisconsin,331,,25,151,35,33
