turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
,2001-02,19,9,29,83,University of Nevada, Las Vegas,58,,15,69,10,30
,2003-04,21,11,52,139,University of Nevada, Las Vegas,99,498,16,126,29,31
,2004-05,22,11,105,233,University of Nevada, Las Vegas,187,725,30,224,43,30
,2005-06,23,33,159,414,University of Nevada, Las Vegas,301,815,31,249,38,29
