turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
20,2011-12,19,15,79,208,University of California, Santa Barbara,155,514,15,195,38,30
66,2012-13,20,24,174,479,University of California, Santa Barbara,371,793,29,300,64,28
59,2013-14,21,33,224,596,University of California, Santa Barbara,420,872,33,322,67,28
51,2014-15,22,45,160,449,University of California, Santa Barbara,349,847,31,308,47,26
