salary,season,team
3726600,2012-13,Cleveland Cavaliers
3894240,2013-14,Cleveland Cavaliers
4062000,2014-15,Oklahoma City Thunder
5138430,2015-16,Oklahoma City Thunder
2898000,2016-17,Miami Heat
