salary,season,team
2483280,2009-10,Houston Rockets
2669520,2010-11,Houston Rockets
2855760,2011-12,Houston Rockets
3632527,2012-13,Los Angeles Lakers
3563600,2013-14,Los Angeles Lakers
9000000,2014-15,Los Angeles Lakers
4000000,2015-16,Indiana Pacers
3911380,2016-17,Minnesota Timberwolves
