salary,season,team
11250000,2007-08,Denver Nuggets
10000000,2008-09,Los Angeles Clippers
7650000,2009-10,Portland Trail Blazers
11749832,2010-11,Portland Trail Blazers
11227250,2011-12,Portland Trail Blazers
4590338,2012-13,New York Knicks
4383773,2013-14,Toronto Raptors
1399507,2013-14,Houston Rockets
646609,2014-15,Toronto Raptors
