turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
30,1998-99,18,23,43,118,University of California, Los Angeles,99,394,10,86,5,30
36,1999-00,19,29,65,156,University of California, Los Angeles,138,413,19,74,11,28
87,2000-01,20,85,142,372,University of California, Los Angeles,297,971,51,232,19,32
87,2001-02,21,108,152,420,University of California, Los Angeles,323,953,35,192,10,31
