salary,season,team
4350000,2007-08,Toronto Raptors
4550000,2008-09,Toronto Raptors
2644230,2009-10,Cleveland Cavaliers
2855700,2010-11,Cleveland Cavaliers
2250000,2011-12,Cleveland Cavaliers
