turn_over,season,age,assist,field_goal,points,college,field_goal_total,minutes_played,steal,total_rb,block,game_played
22,2008-09,18,17,38,92,University of California, Los Angeles,76,,14,44,4,29
83,2009-10,19,100,133,388,University of California, Los Angeles,308,1112,36,141,9,32
56,2010-11,20,67,141,433,University of California, Los Angeles,323,1093,22,101,7,33
