salary,season,team
5427307,2007-08,Charlotte Bobcats
9537500,2008-09,Charlotte Bobcats
10538937,2009-10,New Orleans Hornets
11495000,2010-11,New Orleans Hornets
12541812,2011-12,New Orleans Hornets
13490000,2012-13,Washington Wizards
14487500,2013-14,Phoenix Suns
